danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.0814,0.0652,5,-24.936,0,0.0544,0.995,0.163,0.0803,0.0353,76.08,4tJTytklwv0NENMQxzKp8d,243413,4
0.227,0.121,9,-21.112,1,0.034,0.958,0.937,0.0957,0.106,91.285,5QhtE8F6sCVmAj9hLsHfK7,378253,4
0.199,0.0794,1,-23.582,1,0.0437,0.985,0.0328,0.125,0.0425,128.361,2sUUIC71IhXJbmeO4jPGN7,292667,3
0.155,0.122,8,-22.224,1,0.0533,0.991,0.0381,0.0742,0.0743,78.837,2VrdQtoHpciCTaylo2sylO,279680,5
0.164,0.0296,3,-31.343,1,0.043,0.992,0.498,0.106,0.036,130.262,7iyMdT4mAr0tcmUDeZ2uPj,147009,3
0.161,0.0365,6,-28.697,0,0.0425,0.977,5.73e-05,0.107,0.0335,101.233,6mUgnZ11m9VpKQxYYt5CIU,224253,3
0.155,0.0237,6,-35.264,1,0.0419,0.992,0.926,0.0905,0.0421,135.276,7gNjN3VnFJ7Sa9upbGsNd9,223000,3
0.198,0.198,0,-20.07,1,0.0424,0.988,0.0191,0.15,0.0355,136.171,5o4sgZrP65RcbsvG5K73zB,347111,4
0.111,0.0686,11,-21.734,0,0.0445,0.992,0.00632,0.0602,0.0353,81.548,7JZlmBfgc2UnHwM9G8LycA,313520,4
0.119,0.0155,2,-23.955,1,0.046,0.995,0.513,0.078,0.0373,69.214,3XdQ9XfyxHNzHU8FkJG9NV,192853,4
0.209,0.0801,6,-24.268,1,0.0451,0.993,0.866,0.104,0.0367,126.826,3I01wdMADxcj56fddjT7LK,300747,4
0.0645,0.0156,11,-31.079,0,0.0489,0.988,0.886,0.0587,0.0336,63.204,40C0dZwJnZuE0QUQtTrZVH,1060773,3
0.0973,0.0154,3,-32.509,1,0.042,0.992,0.924,0.067,0.0348,73.479,6a0XmguKnXraKpMw0GEjl4,447321,4
0.164,0.00583,9,-43.951,0,0.0415,0.992,0.974,0.107,0.03,129.201,12sHdE4waQ9BkFPBF1AvZ0,170853,3
0.115,0.0297,11,-29.564,0,0.0364,0.99,0.884,0.114,0.0398,79.658,2gmuvqhU3bnoTnkaTq0eqY,284920,4
0.234,0.0217,1,-29.86,0,0.0676,0.993,0.743,0.122,0.0366,123.986,1VLq3dI44nVnsZMJUShINZ,170347,4
0.156,0.0392,11,-21.786,1,0.0459,0.985,0.961,0.0803,0.0395,81.008,685wxE2HRynbFNcyclZRmR,236800,3
0.136,0.0156,1,-28.425,1,0.039,0.98,0.0669,0.1,0.0347,82.363,1l1WJKJh4Rc8JcRbnIvEqD,154080,3
0.0792,0.00593,1,-36.456,1,0.0373,0.993,0.123,0.107,0.0355,174.295,6tgo3fdEHQajqus7UdvA5J,124453,3
0.161,0.0222,4,-27.196,0,0.0421,0.987,0.663,0.159,0.0287,56.344,74Bg9EeK0eKTWi32RCQPPV,217480,3
0.143,0.00833,3,-26.506,1,0.0408,0.976,0.836,0.117,0.0358,140.512,0lvDVkvqrmEAxNd1572ijE,221205,4
0.176,0.21,11,-16.588,1,0.037,0.995,0.725,0.108,0.0341,124.475,52IYZ6g7TqDi1CbCrnsAnw,132413,3
0.0929,0.00588,4,-41.42,0,0.04,0.981,0.904,0.0758,0.0303,87.485,6uM2elLuQMKe47EV5yjJKT,203293,5
0.13,0.0607,2,-23.65,1,0.0509,0.983,0.963,0.141,0.0377,63.851,5ut7RavktHdSciT8HhaeDm,244387,4
0.174,0.0219,10,-30.508,1,0.0451,0.99,0.0612,0.106,0.0339,121.461,266IIxPc9AX4HsiU7OrtHY,295000,4
0.0636,0.057,11,-24.34,0,0.0445,0.993,0.913,0.309,0.0284,65.327,6pPWfEuM3ixxdE0mubE3XJ,565223,4
0.16,0.015,7,-35.986,0,0.0442,0.979,0.0701,0.0963,0.0363,72.946,7IcX4mmOHx4ugKiciQrFxv,206240,3
0.15,0.0592,3,-31.59,1,0.0459,0.985,0.125,0.0813,0.0446,138.485,7DOWK7SMEiKh9ucFh3z4mb,197093,4
0.191,0.0137,3,-28.492,1,0.0402,0.99,0.574,0.109,0.0273,79.536,6OpyYKLF4E9COL7tXEz4PI,130072,4
0.165,0.0406,0,-29.82,1,0.036,0.986,0.902,0.188,0.0311,82.705,3Bilhr1bldVnL6Ro8uZzWJ,340000,5
0.0604,0.0158,3,-28.142,1,0.048,0.991,0.697,0.0942,0.0332,62.582,72MXB5xKrW9gniLJR6NSm6,259187,4
0.155,0.0264,3,-29.734,1,0.0478,0.99,0.17,0.692,0.0329,135.316,6cdpTXfA1MOlzL6g0kL2ey,368686,3
0.0736,0.0541,2,-24.056,1,0.0453,0.994,0.963,0.23,0.0362,74.223,1ph5REj9a8JJ76dxGm42vV,299907,3
0.0683,0.0309,4,-32.351,1,0.0473,0.991,0.844,0.0888,0.037,75.728,0A4QWPbRDMzJvAigeNCl8w,227933,1
0.0976,0.261,9,-15.59,1,0.041,0.99,0.0101,0.0995,0.0382,78.197,6uVYUhDfJdwV5IcLRR4KpV,189280,4
0.165,0.0798,7,-27.452,0,0.0545,0.986,0.361,0.212,0.0329,133.545,4QMuAiuUaX1TwfmOLyFPHN,340097,4
0.206,0.241,8,-22.441,1,0.0477,0.954,0.941,0.11,0.0346,125.756,6K1z9GdRDtg4wrclq649lZ,133267,1
0.18,0.132,8,-22.473,1,0.0439,0.995,4.71e-06,0.0597,0.0993,139.425,5MMb7xNiVNilblN9lZR9rB,251467,4
0.0634,0.0146,3,-36.592,1,0.0469,0.991,0.902,0.082,0.0331,69.467,4HnlDmW3Dx80EbdC4nAta0,382943,4
0.2,0.0857,11,-22.624,0,0.0388,0.982,0.00463,0.0809,0.0387,131.265,7tsQAEJfP60qsAgJVaqWGB,298053,3
0.112,0.0492,9,-24.624,0,0.0509,0.975,0.0404,0.0736,0.0333,74.921,1E81qx5u8U29k1S3rVxh0u,1563466,3
0.0824,0.0207,9,-35.479,0,0.0498,0.983,0.0169,0.087,0.0345,82.644,60Y0dFZkktv61g8Xe358Lj,171926,3
0.14,0.0854,6,-27.27,0,0.0384,0.991,0.0192,0.129,0.0371,141.976,0SVE49uB6pYy9g9h7qg0Pq,215920,5
0.18,0.0159,9,-34.968,0,0.0485,0.993,0.897,0.0682,0.0363,75.594,6O8Ywqpb2xBauWQAJHmyFr,195600,1
0.119,0.0832,9,-24.176,0,0.0401,0.987,0.923,0.077,0.0348,85.773,1jRKMn2vtjRRuo1p1yrwRn,278720,4
0.202,0.0489,4,-28.848,1,0.0468,0.996,0.177,0.0906,0.0624,80.259,7kQKsxbRIgSbM1rxZi5s9V,124133,3
0.164,0.0366,0,-24.485,1,0.0428,0.994,0.532,0.0777,0.0337,138.408,5y41AyXVAt68eHyY2Z75sP,282560,3
0.0786,0.00503,2,-38.698,0,0.0543,0.985,0.00515,0.0899,0.0626,176.1,7A14bdlIw9CU10VMdXe8Rg,175453,5
0.393,0.588,9,-6.68,0,0.0613,0.345,0.0,0.134,0.728,203.145,500h8jAdr7LvzzXlm1qxtK,186333,4
0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,2QfiRTz5Yc8DdShCxG1tB2,161560,4
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800,4
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493,4
0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,6KTv0Z8BmVqM7DPxbGzpVC,168840,4
0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,6Ac4NVYYl2U73QiTt11ZKd,172867,4
0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,5IMtdHjJ1OtkxbGe4zfUxQ,276493,4
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400,4
0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177,1lCRw5FEZ1gPDNPzy1K4zW,179200,4
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,5vdp5UmvTsnMEMESIF2Ym7,214653,4
0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,3kXoKlD84c6OmIcOLfrfEs,216022,4
0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,2Cdvbe2G4hZsnhNMKyGrie,175173,4
0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,6eN1f9KNmiWEhpE2RhQqB5,405600,4
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,303373,4
0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,7kv7zBjMtVf0eIJle2VZxn,180027,4
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893,4
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,1TfqLAPs4K3s2rJMoCokcS,216933,4
0.505,0.754,4,-7.435,1,0.0366,0.132,0.0,0.204,0.51,119.204,5RKQ5NdjSh2QzD4MaunT91,249600,4
0.81,0.536,10,-11.573,1,0.0583,0.466,0.00074,0.0401,0.957,97.311,4Q5HmyNvQHlfylzGY7V3Wr,215109,4
0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,57bgtoPSgt236HzfBOd8kj,292880,4
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4BP3uh0hFLFRb5cjsgLqDh,140773,4
0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,1xsYj84j7hUDDnTTerGWlH,267597,4
0.519,0.934,7,-7.137,1,0.0471,0.000312,0.00457,0.137,0.586,138.162,2DyHhPyCZgZzNXn1IrtsTu,201867,4
0.776,0.68,10,-10.088,1,0.0389,0.179,0.0,0.483,0.962,92.481,6x959m2QDvatSwUAVCHIuf,230107,4
0.481,0.747,4,-6.937,1,0.0364,0.00698,0.0,0.0646,0.732,127.597,4yJZP61jBhVTesHBZ0gpQn,200800,4
0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,70Z9t1qhytWtG4cCmmi7mU,179760,4
0.508,0.46,11,-7.662,1,0.0404,0.325,0.0,0.648,0.565,75.836,11YWR8tzDTR2P4KZ3lAySj,234301,4
0.575,0.643,2,-8.854,0,0.0331,0.136,1.65e-06,0.249,0.789,152.854,5WDLRQ3VCdVrKw0njWe5E5,300107,4
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,5e9TFTbltYBg2xThimr0rU,270213,4
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,3fH4KjXFYMmljxrcGrbPj9,263040,4
0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,4ePP9So5xRzspjLFVVbj90,256733,4
0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,1NCuYqMc8hKMb4cpNTcJbD,322133,4
